Subject,Section,Actual_Placements,Missing
APPLIED ECONOMICS,ABM 12-D,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTCWR-1,T-ADTCWR-1,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTDNC-1,T-ADTDNC-1,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTMUS-1,T-ADTMUS-1,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTTAR-1,T-ADTTAR-1,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTVMA-1,T-ADTVMA-1,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTVMA-2,T-ADTVMA-2,1,1
APPRENTICESHIP AND EXPLORATION IN THE PERFORMING ARTS/APPRENCTICESHIP AND EXPLORATION IN THE ARTS PRODUCTION 1 (by arts stream)_T-ADTVMA-3,T-ADTVMA-3,1,1
BUSINESS FINANCE,ABM 12-F,1,1
CHRISTIAN LIVING 1,ABM 11-A,1,1
CHRISTIAN LIVING 1,ABM 11-B,1,1
CHRISTIAN LIVING 1,ABM 11-C,1,1
CHRISTIAN LIVING 1,ABM 11-D,1,1
CHRISTIAN LIVING 1,ABM 11-E,1,1
CHRISTIAN LIVING 1,ABM 11-F,1,1
CHRISTIAN LIVING 1,ABM 11-G,1,1
CHRISTIAN LIVING 1,ABM 11-H,1,1
CHRISTIAN LIVING 1,ABM 11-I,1,1
CHRISTIAN LIVING 1,ABM 11-J,1,1
CHRISTIAN LIVING 1,ADT 11-A,1,1
CHRISTIAN LIVING 1,ADT 11-B,1,1
CHRISTIAN LIVING 1,HUMSS 11-A,1,1
CHRISTIAN LIVING 1,HUMSS 11-B,1,1
CHRISTIAN LIVING 1,HUMSS 11-C,1,1
CHRISTIAN LIVING 1,HUMSS 11-D,1,1
CHRISTIAN LIVING 1,HUMSS 11-E,1,1
CHRISTIAN LIVING 1,SPT 11-A,1,1
CHRISTIAN LIVING 1,STEM 11-A,1,1
CHRISTIAN LIVING 1,STEM 11-B,1,1
CHRISTIAN LIVING 1,STEM 11-C,1,1
CHRISTIAN LIVING 1,STEM 11-D,1,1
CHRISTIAN LIVING 1,STEM 11-E,1,1
CHRISTIAN LIVING 1,STEM 11-F,1,1
CHRISTIAN LIVING 1,STEM 11-G,1,1
CHRISTIAN LIVING 1,STEM 11-H,1,1
CHRISTIAN LIVING 1,STEM 11-I,1,1
CHRISTIAN LIVING 1,STEM 11-J,1,1
CHRISTIAN LIVING 1,STEM 11-K,1,1
CHRISTIAN LIVING 1,STEM 11-L,1,1
CHRISTIAN LIVING 1,STEM 11-M,1,1
CHRISTIAN LIVING 1,STEM 11-N,1,1
CHRISTIAN LIVING 4,ABM 12-A,1,1
CHRISTIAN LIVING 4,ABM 12-B,1,1
CHRISTIAN LIVING 4,ABM 12-C,1,1
CHRISTIAN LIVING 4,ABM 12-D,1,1
CHRISTIAN LIVING 4,ABM 12-E,1,1
CHRISTIAN LIVING 4,ABM 12-F,1,1
CHRISTIAN LIVING 4,ABM 12-G,1,1
CHRISTIAN LIVING 4,ABM 12-H,1,1
CHRISTIAN LIVING 4,ABM 12-I,1,1
CHRISTIAN LIVING 4,ABM 12-J,1,1
CHRISTIAN LIVING 4,ADT 12-A,1,1
CHRISTIAN LIVING 4,ADT 12-B,1,1
CHRISTIAN LIVING 4,ADT 12-C,1,1
CHRISTIAN LIVING 4,HUMSS 12-A,1,1
CHRISTIAN LIVING 4,HUMSS 12-B,1,1
CHRISTIAN LIVING 4,HUMSS 12-C,1,1
CHRISTIAN LIVING 4,HUMSS 12-D,1,1
CHRISTIAN LIVING 4,SPT 12-A,1,1
CHRISTIAN LIVING 4,STEM 12-A,1,1
CHRISTIAN LIVING 4,STEM 12-B,1,1
CHRISTIAN LIVING 4,STEM 12-C,1,1
CHRISTIAN LIVING 4,STEM 12-F,1,1
CHRISTIAN LIVING 4,STEM 12-G,1,1
CHRISTIAN LIVING 4,STEM 12-H,1,1
CHRISTIAN LIVING 4,STEM 12-I,1,1
CHRISTIAN LIVING 4,STEM 12-J,1,1
CHRISTIAN LIVING 4,STEM 12-K,1,1
CHRISTIAN LIVING 4,STEM 12-L,1,1
CHRISTIAN LIVING 4,STEM 12-M,1,1
CHRISTIAN LIVING 4,STEM 12-N,1,1
CHRISTIAN LIVING 4,STEM 12-Q,1,1
CHRISTIAN LIVING 4,STEM 12-R,1,1
CHRISTIAN LIVING 4,STEM 12-S,1,1
DISASTER READINESS AND RISK REDUCTION,STEM 12-C,1,1
DISASTER READINESS AND RISK REDUCTION,STEM 12-F,1,1
EARTH SCIENCE,STEM 11-J,1,1
EARTH SCIENCE,STEM 11-K,1,1
EARTH SCIENCE,STEM 11-M,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),HUMSS 11-E,1,1
EMPOWERMENT TECHNOLOGIES 2 (DATA-VISUALIZATION),STEM 12-I,1,1
"FUNDAMENTALS OF ACCOUNTING,BUSINESS AND MANAGEMENT 2",ABM 12-C,1,1
"FUNDAMENTALS OF ACCOUNTING,BUSINESS AND MANAGEMENT 2",ABM 12-I,1,1
GENERAL CHEMISTRY 1,STEM 12-K,1,1
GENERAL CHEMISTRY 1,STEM 12-N,1,1
GENERAL CHEMISTRY 1,STEM 12-P,1,1
GENERAL CHEMISTRY 1,STEM 12-S,1,1
GENERAL CHEMISTRY 2,STEM 12-D,1,1
GENERAL CHEMISTRY 2-LABORATORY,STEM 12-I,1,1
GENERAL MATHEMATICS,STEM 11-C,1,1
GENERAL PHYSICS 1,STEM 12-H,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-A1,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-B2,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-C1,1,1
GENERAL PHYSICS 1-LABORATORY,STEM 12-I2,1,1
HOMEROOM,ABM 11-A,1,1
HOMEROOM,ABM 11-B,1,1
HOMEROOM,ABM 11-C,1,1
HOMEROOM,ABM 11-D,1,1
HOMEROOM,ABM 11-E,1,1
HOMEROOM,ABM 11-F,1,1
HOMEROOM,ABM 11-G,1,1
HOMEROOM,ABM 11-H,1,1
HOMEROOM,ABM 11-I,1,1
HOMEROOM,ABM 11-J,1,1
HOMEROOM,ABM 12-A,1,1
HOMEROOM,ABM 12-B,1,1
HOMEROOM,ABM 12-C,1,1
HOMEROOM,ABM 12-D,1,1
HOMEROOM,ABM 12-E,1,1
HOMEROOM,ABM 12-F,1,1
HOMEROOM,ABM 12-G,1,1
HOMEROOM,ABM 12-H,1,1
HOMEROOM,ABM 12-I,1,1
HOMEROOM,ABM 12-J,1,1
HOMEROOM,ADT 11-A,1,1
HOMEROOM,ADT 11-B,1,1
HOMEROOM,ADT 12-A,1,1
HOMEROOM,ADT 12-B,1,1
HOMEROOM,ADT 12-C,1,1
HOMEROOM,HUMSS 11-A,1,1
HOMEROOM,HUMSS 11-B,1,1
HOMEROOM,HUMSS 11-C,1,1
HOMEROOM,HUMSS 11-D,1,1
HOMEROOM,HUMSS 11-E,1,1
HOMEROOM,HUMSS 12-A,1,1
HOMEROOM,HUMSS 12-B,1,1
HOMEROOM,HUMSS 12-C,1,1
HOMEROOM,HUMSS 12-D,1,1
HOMEROOM,SPT 11-A,1,1
HOMEROOM,SPT 12-A,1,1
HOMEROOM,STEM 11-A,1,1
HOMEROOM,STEM 11-B,1,1
HOMEROOM,STEM 11-C,1,1
HOMEROOM,STEM 11-D,1,1
HOMEROOM,STEM 11-E,1,1
HOMEROOM,STEM 11-F,1,1
HOMEROOM,STEM 11-G,1,1
HOMEROOM,STEM 11-H,1,1
HOMEROOM,STEM 11-I,1,1
HOMEROOM,STEM 11-J,1,1
HOMEROOM,STEM 11-K,1,1
HOMEROOM,STEM 11-L,1,1
HOMEROOM,STEM 11-M,1,1
HOMEROOM,STEM 11-N,1,1
HOMEROOM,STEM 12-A,1,1
HOMEROOM,STEM 12-B,1,1
HOMEROOM,STEM 12-C,1,1
HOMEROOM,STEM 12-D,1,1
HOMEROOM,STEM 12-E,1,1
HOMEROOM,STEM 12-F,1,1
HOMEROOM,STEM 12-G,1,1
HOMEROOM,STEM 12-H,1,1
HOMEROOM,STEM 12-I,1,1
HOMEROOM,STEM 12-K,1,1
HOMEROOM,STEM 12-L,1,1
HOMEROOM,STEM 12-M,1,1
HOMEROOM,STEM 12-N,1,1
HOMEROOM,STEM 12-O,1,1
HOMEROOM,STEM 12-P,1,1
HOMEROOM,STEM 12-Q,1,1
HOMEROOM,STEM 12-R,1,1
HOMEROOM,STEM 12-S,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTCWR-1,T-ADTCWR-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTDNC-1,T-ADTDNC-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTMUS-1,T-ADTMUS-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTTAR-1,T-ADTTAR-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTVMA-1,T-ADTVMA-1,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTVMA-2,T-ADTVMA-2,1,1
INTEGRATING ELEMENTS ADND PRINCIPLES OF THE DIFF. ARTS AND APPLICATIONS 1_T-ADTVMA-3,T-ADTVMA-3,1,1
INTRODUCTION TO THE PHILOSOPHY OF THE HUMAN PERSON,STEM 12-N,1,1
MEDIA AND INFORMATION LITERACY,ABM 12-D,1,1
ORAL COMMUNICATION IN CONTEXT,ABM 11-C,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-I,1,1
ORAL COMMUNICATION IN CONTEXT,STEM 11-K,1,1
ORGANIZATION AND MANAGEMENT,ABM 11-D,1,1
ORGANIZATION AND MANAGEMENT,ABM 11-H,1,1
PERSONAL DEVELOPMENT,STEM 11-L,1,1
PHYSICAL EDUCATION AND HEALTH 1,ADT 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 1,ADT 11-B,1,1
PHYSICAL EDUCATION AND HEALTH 1,SPT 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-B,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-C,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-D,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-E,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-F,1,1
PHYSICAL EDUCATION AND HEALTH 1,STEM 11-G,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-A,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-B,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-C,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-D,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-G,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-H,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-I,1,1
PHYSICAL EDUCATION AND HEALTH 3,ABM 11-J,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-A,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-B,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-C,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-D,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-E,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-F,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-G,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-I,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-J,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-K,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-N,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-P,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-Q,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-R,1,1
PHYSICAL EDUCATION AND HEALTH 4,STEM 12-S,1,1
PRACTICAL RESEARCH 2,STEM 12-P,1,1
PRACTICAL RESEARCH 2,STEM 12-R,1,1
"UNDERSTANDING CULTURE, SOCIETY AND POLITICS",ABM 11-H,1,1
"UNDERSTANDING CULTURE, SOCIETY AND POLITICS",HUMSS 11-A,1,1
